language,filename,blank,comment,code,"github.com/AlDanial/cloc v 2.08  T=0.08 s (3920.3 files/s 491249.2 lines/s)"
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/GreyscaleRotatedLuminanceSource.h,8,19,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/detector/JavaMath.h,8,17,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/decoder/Decoder.h,10,19,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EAN8Reader.h,10,19,19
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI013103decoder.cpp,6,0,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AI01320xDecoder.h,12,26,19
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedChar.cpp,6,0,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/FieldParser.h,15,26,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/decoder/Decoder.h,8,18,19
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/ByteArray.h,5,20,18
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonEncoder.h,8,0,18
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/DataMatrixReader.h,8,19,18
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/CornerPoint.h,6,19,18
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/DataMatrixCornerPoint.cpp,9,19,18
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/AlignmentPattern.h,8,19,18
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/DetectorResult.h,7,18,17
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/BitArrayBuilder.h,11,26,17
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedObject.h,9,26,17
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/qrcode/detector/QRFinderPatternInfo.cpp,5,19,17
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/Binarizer.cpp,8,21,16
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/Reader.h,6,18,16
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/detector/MultiDetector.h,6,15,16
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/EANManufacturerOrgSupport.h,8,17,16
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/MultiFormatUPCEANReader.h,7,19,16
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/RSSUtils.h,10,18,16
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/AnyAIDecoder.cpp,5,0,16
CMake,repos/ruangong-0707/qzxing/src/zxing/bigint/CMakeLists.txt,1,0,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/qrcode/QRCodeMultiReader.h,6,15,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/MultiFormatOneDReader.h,6,18,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtension2Support.h,6,17,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtension5Support.h,6,17,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/UPCEANExtensionSupport.h,6,17,15
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/rss/expanded/decoders/DecodedObject.cpp,5,0,15
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/win32/zxing/iconv.h,0,0,14
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/FormatException.cpp,7,20,14
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultPointCallback.h,7,18,14
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/FormatException.h,6,18,13
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/DetectorResult.cpp,6,20,13
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/DetectorException.h,4,6,13
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/OneDResultPoint.h,5,18,13
ProGuard,repos/ruangong-0707/qzxing/src/QZXing.pro,5,18,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ChecksumException.h,5,16,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/IllegalStateException.h,7,16,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/NotFoundException.h,7,16,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/ReaderException.h,6,19,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/UnsupportedEncodingException.h,5,0,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/WriterException.h,5,0,12
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/BitArrayIO.cpp,3,16,12
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/IllegalArgumentException.h,6,18,12
C/C++ Header,repos/ruangong-0707/qzxing/src/QZXingImageProvider.h,4,15,11
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultIO.cpp,3,20,11
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonException.h,4,18,11
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigIntegerAlgorithms.hh,7,8,10
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/zxing/common/Types.h,5,1,10
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/datamatrix/detector/DataMatrixDetectorException.cpp,6,7,10
C/C++ Header,repos/ruangong-0707/qzxing/src/QZXing_global.h,4,15,9
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/multi/MultipleBarcodeReader.cpp,5,15,9
Markdown,repos/ruangong-0707/qzxing/src/README.md,3,0,8
CMake,repos/ruangong-0707/qzxing/src/zxing/win32/CMakeLists.txt,3,0,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/IllegalStateException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/NotFoundException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ReaderException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/UnsupportedEncodingException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/WriterException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/reedsolomon/ReedSolomonException.cpp,3,19,8
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/Reader.cpp,5,19,7
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/oned/OneDResultPoint.cpp,3,18,7
C/C++ Header,repos/ruangong-0707/qzxing/src/zxing/bigint/BigIntegerLibrary.hh,1,1,6
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/EncodeHint.cpp,3,0,6
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ChecksumException.cpp,3,20,5
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/common/IllegalArgumentException.cpp,3,19,5
C++,repos/ruangong-0707/qzxing/src/zxing/zxing/ResultPointCallback.cpp,4,18,4
SUM,,5332,7947,26945
